cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
TLR9		ZNF559	PSMG3		
TLX1		ZNF562	PSMG4		
TLX1NB		ZNF564	PSPH		
TM4SF5		ZNF569	PSRC1		
TM9SF1		ZNF570	PTBP1		
TMC7		ZNF585B	PTBP2		
TMC8		ZNF587B	PTCD2		
TMCC3		ZNF597	PTCD3		
TMED1		ZNF598	PTCH1		
TMED11P		ZNF606	PTCHD4		
TMED5		ZNF607	PTDSS1		
TMED6		ZNF610	PTDSS2		
TMED7		ZNF618	PTGER1		
TMEM102		ZNF624	PTGER2		
TMEM117		ZNF628	PTGES2		
TMEM119		ZNF646	PTGES3		
TMEM127		ZNF649	PTGES3L		
TMEM132C		ZNF654	PTGES3L-AARSD1		
TMEM132D-AS2		ZNF662	PTGIS		
TMEM132E		ZNF664	PTGR2		
TMEM143		ZNF665	PTGS1		
TMEM144		ZNF689	PTK2		
TMEM150C		ZNF699	PTK7		
TMEM158		ZNF70	PTMA		
TMEM161B		ZNF704	PTMS		
TMEM161B-AS1		ZNF710	PTOV1		
TMEM164		ZNF710-AS1	PTOV1-AS2		
TMEM170A		ZNF720	PTP4A3		
TMEM176B		ZNF727	PTPA		
TMEM179B		ZNF732	PTPMT1		
TMEM181		ZNF737	PTPN11		
TMEM183B		ZNF747	PTPN14		
TMEM189-UBE2V1		ZNF76	PTPN18		
TMEM191B		ZNF761	PTPN4		
TMEM191C		ZNF763	PTPN9		
TMEM192		ZNF765-ZNF761	PTPRC		
TMEM199		ZNF770	PTPRF		
TMEM202		ZNF772	PTPRN		
TMEM211		ZNF775	PTPRO		
TMEM214		ZNF782	PTPRS		
TMEM225		ZNF785	PTPRZ1		
TMEM235		ZNF787	PTRHD1		
TMEM247		ZNF788P	PTS		
TMEM250		ZNF804B	PUDP		
TMEM259		ZNF805	PUF60		
TMEM260		ZNF821	PURPL		
TMEM265		ZNF831	PUS7		
TMEM275		ZNF865	PUSL1		
TMEM33		ZNRD1	PVALB		
TMEM37		ZNRF2	PVRIG2P		
TMEM38B		ZNRF2P2	PVT1		
TMEM45B		ZP1	PWAR5		
TMEM52B		ZP2	PWAR6		
TMEM54		ZP3	PWARSN		
TMEM62		ZP4	PWRN3		
TMEM64		ZPBP	PXDC1		
TMEM70		ZPBP2	PXDN		
TMEM81		ZPLD1	PXMP2		
TMEM86A		ZSCAN2	PXN		
TMEM87B		ZSCAN21	PYCARD		
TMEM88		ZSCAN26	PYCARD-AS1		
TMPPE		ZSWIM3	PYCR1		
TMPRSS11E		ZSWIM4	PYCR2		
TMPRSS12		ZXDC	PYCR3		
TMPRSS13		ZYG11A	PYDC1		
TMPRSS2			PYGL		
TMPRSS6			PYROXD2		
TMPRSS7			PYURF		
TMTC3			PZP		
TNFAIP1			QDPR		
TNFAIP2			QPCT		
TNFAIP3			QPCTL		
TNFAIP8L1			QPRT		
TNFAIP8L3			QRFPR		
TNFRSF13B			QRSL1		
TNFRSF6B			QSER1		
TNFSF13B			QSOX1		
TNFSF15			QTRT1		
TNFSF8			R3HCC1		
TNIP2			R3HDM1		
TNIP3			RAB10		
TNK2-AS1			RAB11B		
TNKS			RAB13		
TNKS1BP1			RAB17		
TNN			RAB19		
TNNT3			RAB1B		
TNPO2			RAB24		
TNR			RAB26		
TNRC17			RAB2A		
TNRC18			RAB30-DT		
TNS3			RAB31		
TNS4			RAB32		
TNXA			RAB33A		
TOB2			RAB34		
TOLLIP			RAB38		
TOMM6			RAB39A		
TONSL			RAB39B		
TOPBP1			RAB3C		
TOR1AIP1			RAB4A		
TP53AIP1			RAB4B		
TP53RK			RAB5IF		
TP53TG5			RAB9A		
TPD52L1			RAB9B		
TPH1			RABAC1		
TPI1			RABEPK		
TPP1			RABGAP1L		
TPRA1			RABL6		
TPRG1-AS1			RAC1		
TPRG1L			RAC3		
TPST2			RACK1		
TPTE2			RAD51D		
TPTE2P3			RAD54L		
TPTE2P5			RAI2		
TPTE2P6			RALGAPA1		
TPTEP1			RALY		
TRABD2B			RAMP2		
TRADD			RAMP2-AS1		
TRAF4			RAN		
TRAPPC2L			RANBP1		
TRAPPC8			RANBP10		
TREM1			RANBP3		
TRERF1			RANBP3L		
TRIB1			RANBP6		
TRIM17			RAP2C-AS1		
TRIM2			RAPGEF4		
TRIM28			RAPGEF5		
TRIM4			RAPGEFL1		
TRIM46			RARA-AS1		
TRIM56			RARG		
TRIM63			RARS		
TRIM71			RARS2		
TRIML1			RASAL1		
TRIP10			RASAL2		
TRMO			RASAL2-AS1		
TRMT2A			RASGRF2-AS1		
TRPC7-AS2			RASIP1		
TRPM4			RASL10B		
TRPV2			RASL11B		
TRPV3			RASL12		
TRPV5			RASSF1		
TSBP1			RASSF1-AS1		
TSIX			RASSF10		
TSPAN1			RASSF4		
TSPAN11			RASSF7		
TSPAN13			RASSF9		
TSPAN14			RBFA		
TSPAN15			RBFOX2		
TSPAN18			RBIS		
TSSK2			RBM12		
TTBK1			RBM15B		
TTC21B			RBM3		
TTC21B-AS1			RBM4		
TTC22			RBM41		
TTC34			RBM43		
TTC39B			RBM45		
TTC7B			RBP1		
TTLL3			RBPMS		
TTN			RBPMS2		
TUBB4A			RBX1		
TUBB4B			RCC1L		
TUBGCP6			RCE1		
TUFM			RCHY1		
TULP2			RCL1		
TULP4			RCN1		
TUSC2			RCN2		
TWF2			RCN3		
TXK			RCOR2		
TXNDC12-AS1			RDH11		
TXNRD1			RDH12		
TXNRD3NB			RDH14		
TYRO3			RDH5		
TYW5			RDH8		
UACA			RDM1		
UAP1L1			REC8		
UBA1			RECK		
UBA52			REEP3		
UBAC2-AS1			RELCH		
UBALD2			REM2		
UBAP1			REPIN1		
UBAP2			RETREG3		
UBAP2L			REXO5		
UBASH3B			RFC2		
UBE2CP5			RFC4		
UBE2M			RFC5		
UBE2Q1-AS1			RFLNA		
UBE2QL1			RFLNB		
UBE2Z			RFT1		
UBIAD1			RFX5		
UBL4A			RFX7		
UBR3			RFX8		
UBR4			RFXANK		
UBXN1			RGL1		
UCA1			RGL3		
UCN2			RGN		
UFC1			RGP1		
UGCG			RGS1		
UGGT1			RGS12		
UGT1A1			RGS17		
UGT1A10			RGS3		
UGT1A3			RGS5		
UGT1A4			RGS9		
UGT1A5			RHAG		
UGT1A6			RHBDD2		
UGT1A7			RHBDD3		
UGT1A8			RHBDL1		
UGT1A9			RHCE		
UGT2B10			RHEB		
UGT2B10.1			RHNO1		
UGT2B15			RHOA		
UGT2B4			RHOD		
UGT2B7			RHOH		
ULK1			RHOXF1-AS1		
UMOD			RHPN1		
UNC13B			RIC1		
UNC5B			RIC3		
UNC5B-AS1			RIC8B		
UNQ6494			RIDA		
UPK2			RILP		
UPK3BL1			RILPL2		
UPK3BL2			RIMS3		
UPP1			RINL		
UQCR10			RIPK1		
UQCR11			RIPOR1		
UQCRBP1			RITA1		
UQCRC1			RMDN1		
UQCRFS1			RMDN2		
UQCRH			RMI2		
UQCRHL			RMST		
URAD			RNASEH1		
URAHP			RNASEH1-AS1		
URB1			RNASEH2A		
URB2			RNASEH2B		
UROC1			RNASEK		
USE1			RNASEK-C17orf49		
USF1			RND2		
USF3			RND3		
USP27X			RNF103-CHMP3		
USP28			RNF123		
UTF1			RNF126		
UTP14C			RNF128		
UTRN			RNF130		
UVSSA			RNF141		
VAC14-AS1			RNF144A-AS1		
VAMP8			RNF146		
VAPA			RNF149		
VARS			RNF165		
VAV1			RNF166		
VAV2			RNF167		
VAV3-AS1			RNF175		
VAX1			RNF215		
VCP			RNF217		
VCX			RNF222		
VCX2			RNF25		
VCX3A			RNF26		
VCX3B			RNF41		
VEGFA			RNF43		
VENTX			RNF5		
VENTXP1			RNF5P1		
VGLL1			RNF7		
VIL1			RNFT2		
VN1R1			RNLS		
VN1R4			RNPEP		
VPREB1			RNPEPL1		
VPS11			RNPS1		
VPS16			RNU4ATAC		
VPS18			RNY4		
VPS28			RO60		
VPS29			ROBO1		
VPS35			ROMO1		
VPS36			ROR1		
VPS39			RPA3		
VSIG10			RPAIN		
VSIG10L2			RPAP1		
VSIG2			RPAP2		
VSIG4			RPARP-AS1		
VWA1			RPE		
VWA5B2			RPL10A		
WARS2-AS1			RPL11		
WARS2-IT1			RPL12		
WASH2P			RPL14		
WASH7P			RPL15		
WASH8P			RPL17		
WASHC2C			RPL18		
WASHC3			RPL21		
WASL			RPL21.1		
WBP1L			RPL22		
WDR24			RPL22L1		
WDR27			RPL23		
WDR36			RPL23AP64		
WDR4			RPL24		
WDR5			RPL26		
WDR55			RPL27		
WDR66			RPL27A		
WDR83OS			RPL3		
WFDC5			RPL31		
WHAMMP3			RPL34		
WIPF1			RPL35		
WNT10A			RPL35A		
WNT10B			RPL36A		
WNT11			RPL36AL		
WNT2			RPL37		
WNT3			RPL37A		
WNT3A			RPL38		
WNT5B			RPL39		
WNT6			RPL39L		
WNT7A			RPL4		
WNT7B			RPL41		
WRNIP1			RPL5		
WSB1			RPL6		
WT1			RPL7A		
WT1-AS			RPL7L1		
WWC1			RPL9		
WWC2-AS2			RPLP1		
WWP1			RPN1		
WWTR1			RPN2		
XAB2			RPP25L		
XAGE3			RPP40		
XIAP			RPS10		
XIRP1			RPS10-NUDT3		
XIST			RPS12		
XKR4			RPS14		
XKR7			RPS15A		
XYLB			RPS18		
YDJC			RPS2		
YIPF2			RPS20		
YIPF4			RPS21		
YJEFN3			RPS23		
YTHDC2			RPS24		
ZACN			RPS26		
ZAN			RPS27A		
ZASP			RPS29		
ZBED6CL			RPS3		
ZBP1			RPS3A		
ZBTB11-AS1			RPS4Y1		
ZBTB20			RPS6		
ZBTB40			RPS6KB2		
ZBTB42			RPS7		
ZBTB44			RPS8		
ZBTB7A			RPSA		
ZBTB7B			RPSAP52		
ZC2HC1C			RRAGA		
ZC3H11A			RRAGD		
ZC3H12B			RRAS		
ZC3H12C			RRAS2		
ZC3H15			RRH		
ZC3HAV1			RRN3P3		
ZCCHC8			RRNAD1		
ZDHHC11			RRP1B		
ZDHHC11B			RRP36		
ZDHHC20			RRP9		
ZDHHC23			RSAD1		
ZDHHC24			RSF1		
ZFAND2B			RSKR		
ZFP36L2			RSL1D1		
ZFP42			RSPH3		
ZFP57			RTCA		
ZFP64			RTCB		
ZFX			RTF2		
ZFY			RTL5		
ZFY-AS1			RTL6		
ZG16			RTL8A		
ZMAT3			RTL8B		
ZMIZ1			RTL8C		
ZMIZ2			RTN3		
ZMPSTE24			RTN4RL2		
ZNF106			RUBCNL		
ZNF114			RUNDC1		
ZNF117			RUNDC3A-AS1		
ZNF124			RUSC1-AS1		
ZNF146			RUVBL1		
ZNF205			RUVBL2		
ZNF257			RWDD1		
ZNF263			RWDD2A		
ZNF276			RWDD3		
ZNF28			RWDD4		
ZNF292			RXRA		
ZNF300P1			RXYLT1		
ZNF317			RYK		
ZNF331			S100A10		
ZNF366			S100A11		
ZNF367			S100A2		
ZNF37BP			S100A3		
ZNF385A			S100A4		
ZNF41			SAAL1		
ZNF431			SACS		
ZNF439			SAE1		
ZNF440			SAFB2		
ZNF446			SALL1		
ZNF468			SALL2		
ZNF469			SAMD10		
ZNF48			SAMD13		
ZNF480			SAMM50		
ZNF486			SAMSN1		
ZNF516			SAMSN1-AS1		
ZNF551			SAPCD1		
ZNF552			SARAF		
ZNF567			SARM1		
ZNF571-AS1			SARNP		
ZNF576			SARS		
ZNF589			SARS2		
ZNF592			SAT2		
ZNF600			SATB1		
ZNF621			SATB1-AS1		
ZNF681			SBK1		
ZNF697			SC5D		
ZNF702P			SCAMP5		
ZNF703			SCAND1		
ZNF706			SCAND2P		
ZNF713			SCARA3		
ZNF726			SCARB1		
ZNF729			SCARF1		
ZNF730			SCARF2		
ZNF740			SCARNA1		
ZNF750			SCARNA23		
ZNF75A			SCCPDH		
ZNF75D			SCD		
ZNF767P			SCFD2		
ZNF780A			SCG3		
ZNF789			SCG5		
ZNF800			SCGB3A1		
ZNF807			SCHIP1		
ZNF81			SCIMP		
ZNF826P			SCMH1		
ZNF90			SCN1B		
ZNHIT1			SCN3B		
ZNRF1			SCN4A		
ZNRF2P1			SCNN1A		
ZNRF3			SCO1		
ZSCAN1			SCOC-AS1		
ZSCAN12P1			SCP2		
ZSWIM6			SCPEP1		
ZSWIM8			SCRN1		
ZSWIM9			SCT		
ZYG11B			SCTR		
ZZEF1			SDC2		
			SDC3		
			SDCBP2		
			SDF2		
			SDF4		
			SDHAF2		
			SDHC		
			SDR39U1		
			SEC11A		
			SEC11C		
			SEC13		
			SEC14L2		
			SEC24B-AS1		
			SEC24D		
			SEC61A2		
			SEC61B		
			SEC61G		
			SEL1L3		
			SELENBP1		
			SELENOH		
			SELENOV		
			SELENOW		
			SELL		
			SEM1		
			SEMA3A		
			SEMA3F		
			SEMA4A		
			SEMA5B		
			SEMA6A-AS1		
			SEMA6A-AS2		
			SEMA7A		
			SEMG1		
			SEPHS1		
			SEPSECS-AS1		
			SEPT5-GP1BB		
			SEPT7P2		
			SERGEF		
			SERP1		
			SERP2		
			SERPINA11		
			SERPINA5		
			SERPINB1		
			SERPINB3		
			SERPINB4		
			SERPINB6		
			SERPINE1		
			SERPING1		
			SERPINH1		
			SERPINI1		
			SERTAD4		
			SERTAD4-AS1		
			SET		
			SETD5		
			SETD7		
			SETD9		
			SETMAR		
			SEZ6L2		
			SF3A2		
			SFN		
			SFRP1		
			SFRP2		
			SFT2D1		
			SFT2D3		
			SFTA1P		
			SFXN1		
			SFXN2		
			SFXN3		
			SFXN4		
			SGCA		
			SGCE		
			SGIP1		
			SGSM1		
			SGSM3		
			SGTA		
			SGTB		
			SH2D2A		
			SH3BGRL		
			SH3D19		
			SH3GL1P1		
			SH3PXD2B		
			SH3YL1		
			SHANK1		
			SHANK2-AS1		
			SHARPIN		
			SHBG		
			SHC3		
			SHISA2		
			SHISA4		
			SHISA9		
			SHISAL2B		
			SHKBP1		
			SHLD2P1		
			SHLD2P3		
			SHMT1		
			SHMT2		
			SHPRH		
			SHROOM4		
			SIGIRR		
			SIGMAR1		
			SIN3B		
			SINHCAF		
			SIPA1		
			SIRT5		
			SIT1		
			SIVA1		
			SIX2		
			SIX4		
			SIX5		
			SIX6		
			SKIL		
			SKIV2L		
			SLA		
			SLAMF1		
			SLC11A2		
			SLC12A1		
			SLC12A4		
			SLC12A5-AS1		
			SLC13A5		
			SLC15A1		
			SLC15A3		
			SLC16A1-AS1		
			SLC16A14		
			SLC16A7		
			SLC17A9		
			SLC18B1		
			SLC19A1		
			SLC1A1		
			SLC1A5		
			SLC20A1		
			SLC20A2		
			SLC22A1		
			SLC22A17		
			SLC22A18		
			SLC22A3		
			SLC22A4		
			SLC25A1		
			SLC25A11		
			SLC25A13		
			SLC25A15		
			SLC25A17		
			SLC25A21		
			SLC25A21-AS1		
			SLC25A24		
			SLC25A27		
			SLC25A3		
			SLC25A34		
			SLC25A37		
			SLC25A38		
			SLC25A4		
			SLC25A40		
			SLC25A45		
			SLC25A51		
			SLC25A53		
			SLC26A2		
			SLC27A2		
			SLC27A3		
			SLC27A5		
			SLC29A1		
			SLC29A2		
			SLC2A1		
			SLC2A1-AS1		
			SLC2A4		
			SLC2A6		
			SLC2A8		
			SLC30A5		
			SLC30A9		
			SLC35A4		
			SLC35B1		
			SLC35B2		
			SLC35B3		
			SLC35B4		
			SLC35C2		
			SLC35E2A		
			SLC35E2B		
			SLC35E3		
			SLC35F1		
			SLC35G4		
			SLC36A4		
			SLC37A1		
			SLC38A1		
			SLC38A2		
			SLC38A4		
			SLC38A5		
			SLC38A6		
			SLC39A1		
			SLC39A13		
			SLC39A7		
			SLC39A8		
			SLC43A1		
			SLC44A4		
			SLC46A1		
			SLC48A1		
			SLC4A4		
			SLC50A1		
			SLC6A15		
			SLC7A1		
			SLC7A10		
			SLC7A3		
			SLC7A5		
			SLC8A3		
			SLC9B2		
			SLCO5A1		
			SLFN12		
			SLFN5		
			SLIRP		
			SLIT2		
			SLITRK3		
			SLITRK4		
			SLITRK5		
			SLMO2-ATP5E		
			SLTM		
			SLX1A-SULT1A3		
			SLX1B		
			SMA5		
			SMAD4		
			SMAP2		
			SMARCA1		
			SMARCA5-AS1		
			SMARCC1		
			SMARCD1		
			SMARCD2		
			SMARCE1		
			SMCO4		
			SMCR5		
			SMDT1		
			SMG1P2		
			SMG1P5		
			SMIM1		
			SMIM10		
			SMIM10L1		
			SMIM10L2B-AS1		
			SMIM11B		
			SMIM12		
			SMIM19		
			SMIM2		
			SMIM20		
			SMIM24		
			SMIM26		
			SMIM28		
			SMIM3		
			SMIM30		
			SMIM4		
			SMIM5		
			SMIM7		
			SMO		
			SMPD2		
			SMPD4		
			SMPDL3B		
			SMS		
			SMTN		
			SMTNL1		
			SMTNL2		
			SMYD5		
			SNAI2		
			SNAI3-AS1		
			SNAR-G1		
			SNAR-G2		
			SNCA		
			SNCG		
			SND1		
			SNF8		
			SNHG11		
			SNHG14		
			SNHG16		
			SNHG17		
			SNHG19		
			SNHG20		
			SNHG29		
			SNHG32		
			SNHG4		
			SNHG5		
			SNHG6		
			SNN		
			SNORA17A		
			SNORA17B		
			SNORA26		
			SNORA27		
			SNORA50C		
			SNORA53		
			SNORA79		
			SNORD104		
			SNORD108		
			SNORD116-18		
			SNORD116-26		
			SNORD144		
			SNORD15A		
			SNORD36A		
			SNORD45A		
			SNRNP25		
			SNRNP40		
			SNRNP70		
			SNRPA		
			SNRPB		
			SNRPD2		
			SNRPF		
			SNRPG		
			SNRPN		
			SNTB1		
			SNTG1		
			SNURF		
			SNX11		
			SNX17		
			SNX22		
			SNX33		
			SNX7		
			SOCS1		
			SOCS2-AS1		
			SOCS6		
			SOD1		
			SOGA1		
			SOGA3		
			SORBS2		
			SORBS3		
			SORD		
			SORD2P		
			SORL1		
			SOWAHC		
			SOX10		
			SOX11		
			SOX12		
			SOX14		
			SOX2		
			SOX2-OT		
			SOX3		
			SOX4		
			SOX8		
			SP140		
			SP140L		
			SPACA6		
			SPACA6P-AS		
			SPAG7		
			SPARC		
			SPARCL1		
			SPART		
			SPATA12		
			SPATA17-AS1		
			SPATA18		
			SPATA20		
			SPATA21		
			SPATA24		
			SPATC1L		
			SPATS2L		
			SPC24		
			SPC25		
			SPCS1		
			SPDYE1		
			SPDYE3		
			SPDYE6		
			SPECC1L-ADORA2A		
			SPEF2		
			SPEG		
			SPEGNB		
			SPG7		
			SPIB		
			SPIN2A		
			SPIN2B		
			SPINK1		
			SPINT1-AS1		
			SPINT2		
			SPNS1		
			SPOUT1		
			SPP1		
			SPRED1		
			SPRN		
			SPRR1B		
			SPRR2F		
			SPRY1		
			SPRY4		
			SPRY4-AS1		
			SPRY4-IT1		
			SPRYD4		
			SPSB4		
			SPTBN2		
			SPTSSB		
			SPX		
			SQSTM1		
			SRA1		
			SRC		
			SRD5A1		
			SRD5A3		
			SRGAP3-AS3		
			SRP54		
			SRPX		
			SRRM3		
			SRRM4		
			SRSF2		
			SRSF3		
			SRSF6		
			SRSF7		
			SRSF9		
			SS18		
			SS18L2		
			SSB		
			SSBP1		
			SSBP4		
			SSC4D		
			SSH3		
			SSR2		
			SSR3		
			SSRP1		
			SSTR2		
			SSU72		
			ST13		
			ST20		
			ST20-AS1		
			ST3GAL3		
			ST5		
			ST6GAL2		
			ST6GALNAC4		
			ST6GALNAC5		
			ST6GALNAC6		
			ST7L		
			ST8SIA2		
			ST8SIA3		
			ST8SIA6		
			STAC		
			STAM		
			STAMBPL1		
			STAP2		
			STAR		
			STARD13		
			STARD3		
			STARD3NL		
			STARD4		
			STARD8		
			STAT1		
			STAT2		
			STAT3		
			STAT5B		
			STBD1		
			STC1		
			STC2		
			STEAP1		
			STEAP1B		
			STEAP2		
			STIP1		
			STK11		
			STK11IP		
			STK16		
			STK17A		
			STK25		
			STK26		
			STK32C		
			STMN1		
			STMN2		
			STMN3		
			STMP1		
			STN1		
			STOML2		
			STOX2		
			STRADB		
			STRAP		
			STRIT1		
			STRN3		
			STRN4		
			STT3A		
			STUB1		
			STX10		
			STX19		
			STXBP1		
			STXBP4		
			STYXL1		
			SUCLA2		
			SUCLG2		
			SUCLG2-AS1		
			SUGT1		
			SUGT1P1		
			SULF1		
			SULT1A2		
			SULT1C2		
			SULT1C4		
			SULT2B1		
			SUMF1		
			SUMF2		
			SUMO1		
			SUMO3		
			SUOX		
			SUPT16H		
			SURF1		
			SURF4		
			SV2A		
			SVIL		
			SWI5		
			SYK		
			SYMPK		
			SYNCRIP		
			SYNDIG1		
			SYNE4		
			SYNGR1		
			SYNGR2		
			SYNPO2		
			SYNPR		
			SYNPR-AS1		
			SYP		
			SYPL1		
			SYS1		
			SYT3		
			SYT4		
			SYT6		
			SYTL1		
			TAC1		
			TAC3		
			TACO1		
			TADA3		
			TAF10		
			TAF15		
			TAF6		
			TAGLN		
			TAGLN2		
			TAGLN3		
			TAL2		
			TANGO6		
			TAP1		
			TAPBP		
			TAPBPL		
			TARBP2		
			TARP		
			TARS		
			TARS2		
			TAS2R30		
			TATDN1		
			TATDN3		
			TAX1BP3		
			TAZ		
			TBC1D16		
			TBC1D17		
			TBC1D19		
			TBC1D4		
			TBC1D5		
			TBC1D8-AS1		
			TBC1D8B		
			TBC1D9B		
			TBCB		
			TBCE		
			TBCK		
			TBRG4		
			TBX22		
			TBXAS1		
			TCEAL1		
			TCEAL2		
			TCEAL3		
			TCEAL4		
			TCEAL5		
			TCEAL7		
			TCEAL8		
			TCERG1L-AS1		
			TCF21		
			TCF25		
			TCF4		
			TCF7L1		
			TCIRG1		
			TCN1		
			TCN2		
			TCP1		
			TCP11L1		
			TCTA		
			TCTE1		
			TCTN3		
			TDGF1		
			TDGF1P3		
			TDP2		
			TDRKH		
			TEAD2		
			TEAD4		
			TECPR1		
			TEDC2		
			TENM3-AS1		
			TERF1		
			TEX26-AS1		
			TEX261		
			TFB1M		
			TFDP2		
			TFF2		
			TFF3		
			TFPI2		
			TGDS		
			TGFB1I1		
			TGFB2-OT1		
			TGFBI		
			TGFBR3L		
			TGIF1		
			TGIF2		
			TGIF2-RAB5IF		
			TGM1		
			THAP2		
			THAP3		
			THAP7-AS1		
			THAP9-AS1		
			THBS1		
			THEM4		
			THEMIS2		
			THNSL2		
			THOC6		
			THOP1		
			THORLNC		
			THRAP3		
			THTPA		
			THUMPD2		
			THY1		
			TIE1		
			TIGD5		
			TIMELESS		
			TIMM13		
			TIMM17B		
			TIMM22		
			TIMM23		
			TIMM8B		
			TIMMDC1		
			TIMP1		
			TIMP3		
			TIMP4		
			TIPRL		
			TK1		
			TKFC		
			TKT		
			TLCD1		
			TLE5		
			TLL2		
			TLN1		
			TLR6		
			TM2D2		
			TM4SF18		
			TM4SF19-AS1		
			TM6SF2		
			TM7SF2		
			TM7SF3		
			TM9SF4		
			TMA16		
			TMA7		
			TMBIM4		
			TMC1		
			TMC4		
			TMC6		
			TMCC1-AS1		
			TMCO1-AS1		
			TMCO3		
			TMCO4		
			TMCO6		
			TMED10		
			TMED2		
			TMED3		
			TMED4		
			TMED9		
			TMEFF1		
			TMEM106B		
			TMEM106C		
			TMEM108-AS1		
			TMEM120A		
			TMEM121B		
			TMEM125		
			TMEM126B		
			TMEM130		
			TMEM132A		
			TMEM135		
			TMEM136		
			TMEM140		
			TMEM141		
			TMEM147		
			TMEM147-AS1		
			TMEM14C		
			TMEM151B		
			TMEM155		
			TMEM160		
			TMEM161A		
			TMEM165		
			TMEM17		
			TMEM177		
			TMEM178A		
			TMEM178B		
			TMEM183A		
			TMEM186		
			TMEM19		
			TMEM191A		
			TMEM196		
			TMEM198		
			TMEM200B		
			TMEM200C		
			TMEM203		
			TMEM205		
			TMEM216		
			TMEM218		
			TMEM219		
			TMEM220		
			TMEM220-AS1		
			TMEM222		
			TMEM223		
			TMEM225B		
			TMEM229A		
			TMEM230		
			TMEM237		
			TMEM241		
			TMEM243		
			TMEM246		
			TMEM249		
			TMEM254		
			TMEM256		
			TMEM256-PLSCR3		
			TMEM258		
			TMEM26		
			TMEM30B		
			TMEM35A		
			TMEM38A		
			TMEM39A		
			TMEM39B		
			TMEM40		
			TMEM42		
			TMEM44		
			TMEM45A		
			TMEM47		
			TMEM59L		
			TMEM63A		
			TMEM67		
			TMEM74B		
			TMEM86B		
			TMEM8A		
			TMEM8B		
			TMEM91		
			TMEM98		
			TMIE		
			TMLHE		
			TMPRSS11D		
			TMPRSS3		
			TMSB10		
			TMSB15A		
			TMSB15B		
			TMSB15B-AS1		
			TMSB4X		
			TMSB4Y		
			TMTC4		
			TMUB1		
			TMX1		
			TMX2		
			TNC		
			TNFRSF10A		
			TNFRSF10B		
			TNFRSF10C		
			TNFRSF10D		
			TNFRSF11B		
			TNFRSF12A		
			TNFRSF18		
			TNFRSF1A		
			TNFRSF21		
			TNFRSF25		
			TNFRSF8		
			TNFSF10		
			TNFSF11		
			TNK1		
			TNNC1		
			TNNI3K		
			TNRC6C		
			TNRC6C-AS1		
			TNS1		
			TNS2		
			TOB2P1		
			TOE1		
			TOM1		
			TOMM20		
			TOMM22		
			TOMM40		
			TOMM40L		
			TOMM7		
			TOP1MT		
			TOP3B		
			TOR1A		
			TOR4A		
			TOX3		
			TP53		
			TP53I11		
			TP53I13		
			TP53I3		
			TP53TG1		
			TPCN1		
			TPCN2		
			TPD52L2		
			TPGS1		
			TPGS2		
			TPM1		
			TPM2		
			TPM3		
			TPM4		
			TPMT		
			TPRN		
			TPTEP2		
			TPTEP2-CSNK1E		
			TRA2B		
			TRABD		
			TRABD2A		
			TRAF3IP2-AS1		
			TRAF7		
			TRAM1		
			TRAM1L1		
			TRAP1		
			TRAPPC3		
			TRAPPC4		
			TRAPPC5		
			TRAPPC6A		
			TRDMT1		
			TRDN		
			TREX1		
			TRG-AS1		
			TRH		
			TRIB2		
			TRIB3		
			TRIM14		
			TRIM16		
			TRIM16L		
			TRIM21		
			TRIM22		
			TRIM24		
			TRIM25		
			TRIM27		
			TRIM34		
			TRIM44		
			TRIM47		
			TRIM5		
			TRIM52-AS1		
			TRIM54		
			TRIM65		
			TRIM66		
			TRIML2		
			TRIP13		
			TRIP4		
			TRIP6		
			TRIQK		
			TRMT1		
			TRMT10B		
			TRMT12		
			TRMT61A		
			TRMT61B		
			TRMU		
			TRNAU1AP		
			TRNP1		
			TRO		
			TRPC1		
			TRPC5		
			TRPM1		
			TRPM3		
			TRPM8		
			TRPS1		
			TRPT1		
			TRUB2		
			TSC22D1		
			TSC22D3		
			TSEN15		
			TSEN2		
			TSEN34		
			TSEN54		
			TSHZ3		
			TSL		
			TSN		
			TSNARE1		
			TSPAN17		
			TSPAN2		
			TSPAN3		
			TSPAN31		
			TSPAN33		
			TSPAN4		
			TSPAN6		
			TSPEAR-AS1		
			TSPEAR-AS2		
			TSPO		
			TSPOAP1		
			TSPY26P		
			TSPYL2		
			TSR2		
			TSR3		
			TSSC2		
			TSSC4		
			TST		
			TSTA3		
			TSTD1		
			TSTD3		
			TTC19		
			TTC27		
			TTC37		
			TTC38		
			TTC3P1		
			TTC4		
			TTC8		
			TTC9		
			TTLL12		
			TTLL6		
			TTTY14		
			TTTY15		
			TTYH1		
			TTYH3		
			TUBA1A		
			TUBA1B		
			TUBA8		
			TUBB		
			TUBB2A		
			TUBB2B		
			TUBB3		
			TUBB6		
			TUBG1		
			TUBGCP2		
			TUBGCP5		
			TUFT1		
			TUNAR		
			TUSC3		
			TUT1		
			TUT4		
			TVP23C		
			TWIST2		
			TXLNA		
			TXLNGY		
			TXN		
			TXNDC12		
			TXNDC15		
			TXNDC2		
			TXNDC5		
			TXNL1		
			TXNL4A		
			TXNRD2		
			TXNRD3		
			TYMP		
			TYMS		
			TYMSOS		
			TYW3		
			U2AF1		
			U2AF1L5		
			UBA2		
			UBA3		
			UBA6-AS1		
			UBAC2		
			UBC		
